player_name,player_id,total_four
"P Kumar",14,37
"SK Raina",21,37
"Yuvraj Singh",27,37
"RA Jadeja",35,37
"S Dhawan",42,37
"DJ Bravo",71,37
"DS Kulkarni",80,37
"DR Smith",147,37
"MC Henriques",163,37
"DA Warner",187,37
"Bipul Sharma",228,37
"AJ Finch",254,37
"B Kumar",299,37
"BCJ Cutting",385,37
"DJ Hooda",394,37
"BB Sran",429,37
"S Kaushik",432,37
"TA Boult",458,37
"R Dravid",6,37
"SR Watson",32,37
"SK Trivedi",39,37
"Harbhajan Singh",50,37
"RG Sharma",57,37
"AM Rahane",85,37
"BJ Hodge",104,37
"PP Ojha",131,37
"DR Smith",147,37
"SL Malinga",194,37
"AT Rayudu",208,37
"KA Pollard",221,37
"VS Malik",243,37
"STR Binny",255,37
"KK Cooper",309,37
"JP Faulkner",310,37
"R Dhawan",356,37
"MG Johnson",357,37
"R Dravid",6,37
"V Kohli",8,37
"JH Kallis",9,37
"CL White",10,37
"P Kumar",14,37
"KC Sangakkara",26,37
"Yuvraj Singh",27,37
"IK Pathan",29,37
"GD McGrath",118,37
"Mohammad Asif",117,37
"TM Srivastava",92,37
"VY Mahesh",91,37
"MF Maharoof",90,37
"R Bhatia",89,37
"MK Tiwary",87,37
"Shoaib Malik",86,37
"VRV Singh",78,37
"S Sreesanth",77,37
"PP Chawla",67,37
"B Lee",66,37
"DPMD Jayawardene",64,37
"S Dhawan",42,37
"V Sehwag",41,37
"G Gambhir",40,37
"IK Pathan",29,37
"SM Katich",28,37
"Yuvraj Singh",27,37
"KC Sangakkara",26,37
"K Goel",24,37
"DL Vettori",175,37
"GD McGrath",118,37
"Mohammad Asif",117,37
"DW Steyn",94,37
"VY Mahesh",91,37
"R Bhatia",89,37
"MK Tiwary",87,37
"Shoaib Malik",86,37
"R Vinay Kumar",81,37
"LRPL Taylor",52,37
"S Dhawan",42,37
"V Sehwag",41,37
"G Gambhir",40,37
"SB Joshi",16,37
"Z Khan",15,37
"P Kumar",14,37
"MV Boucher",11,37
"JH Kallis",9,37
"V Kohli",8,37
"W Jaffer",7,37
"R Dravid",6,37
"DJ Hussey",4,37
"R Dravid",6,37
"P Kumar",14,37
"SK Trivedi",39,37
"AM Nayar",48,37
"AC Gilchrist",53,37
"PP Chawla",67,37
"AM Rahane",85,37
"SE Marsh",100,37
"BJ Hodge",104,37
"PC Valthaty",167,37
"J Botha",192,37
"A Singh",196,37
"OA Shah",204,37
"Bipul Sharma",228,37
"Mandeep Singh",236,37
"Harmeet Singh",256,37
"AL Menaria",266,37
"AA Chavan",297,37
"KK Cooper",309,37
"JP Faulkner",310,37
"JD Unadkat",346,37
"SJ Srivastava",234,37
"J Theron",233,37
"Bipul Sharma",228,37
"SE Bond",220,37
"CA Pujara",203,37
"AD Mathews",191,37
"CH Gayle",162,37
"RS Bopara",161,37
"RR Powar",153,37
"MK Tiwary",87,37
"M Kartik",83,37
"AB Agarkar",82,37
"PP Chawla",67,37
"DPMD Jayawardene",64,37
"IK Pathan",29,37
"Yuvraj Singh",27,37
"KC Sangakkara",26,37
"DJ Hussey",4,37
"SC Ganguly",1,37
"MK Pandey",96,37
"SE Marsh",100,37
"A Kumble",124,37
"KP Pietersen",158,37
"RS Bopara",161,37
"Bipul Sharma",228,37
"SJ Srivastava",234,37
"DW Steyn",94,37
"R Vinay Kumar",81,37
"S Sreesanth",77,37
"PP Chawla",67,37
"B Lee",66,37
"RV Uthappa",46,37
"K Goel",24,36
"KC Sangakkara",26,36
"Yuvraj Singh",27,36
"SM Katich",28,36
"IK Pathan",29,36
"YK Pathan",31,36
"RA Jadeja",35,36
"SK Warne",38,36
"CL White",10,36
"KC Sangakkara",26,36
"IK Pathan",29,36
"V Sehwag",41,36
"S Dhawan",42,36
"Y Venugopal Rao",54,36
"DPMD Jayawardene",64,36
"MS Gony",120,36
"A Mishra",136,36
"JP Duminy",154,36
"DA Warner",187,36
